,date,symbol
0,2008-12-02,AA
1,2008-12-02,AAPL
2,2008-12-02,ABT
3,2008-12-02,AEP
4,2008-12-02,AES
5,2008-12-02,AIG
6,2008-12-02,ALL
7,2008-12-02,AMGN
8,2008-12-02,AVP
9,2008-12-02,AXP
10,2008-12-02,BA
11,2008-12-02,BAC
12,2008-12-02,BAX
13,2008-12-02,BHI
14,2008-12-02,BK
15,2008-12-02,BMY
16,2008-12-02,BNI
17,2008-12-02,C
18,2008-12-02,CAT
19,2008-12-02,CBS
20,2008-12-02,CI
21,2008-12-02,CL
22,2008-12-02,CMCS_A
23,2008-12-02,COF
24,2008-12-02,COP
25,2008-12-02,COV
26,2008-12-02,CPB
27,2008-12-02,CSCO
28,2008-12-02,CVS
29,2008-12-02,CVX
30,2008-12-02,DD
31,2008-12-02,DELL
32,2008-12-02,DIS
33,2008-12-02,DOW
34,2008-12-02,EMC
35,2008-12-02,EP
36,2008-12-02,ETR
37,2008-12-02,EXC
38,2008-12-02,F
39,2008-12-02,FDX
40,2008-12-02,GD
41,2008-12-02,GE
42,2008-12-02,GOOG
43,2008-12-02,GS
44,2008-12-02,HAL
45,2008-12-02,HD
46,2008-12-02,HIG
47,2008-12-02,HNZ
48,2008-12-02,HON
49,2008-12-02,HPQ
50,2008-12-02,IBM
51,2008-12-02,INTC
52,2008-12-02,IP
53,2008-12-02,JNJ
54,2008-12-02,JPM
55,2008-12-02,KFT
56,2008-12-02,KO
57,2008-12-02,MA
58,2008-12-02,MCD
59,2008-12-02,MDT
60,2008-12-02,MER
61,2008-12-02,MMM
62,2008-12-02,MO
63,2008-12-02,MRK
64,2008-12-02,MS
65,2008-12-02,MSFT
66,2008-12-02,NOV
67,2008-12-02,NSC
68,2008-12-02,NYX
69,2008-12-02,ORCL
70,2008-12-02,OXY
71,2008-12-02,PEP
72,2008-12-02,PFE
73,2008-12-02,PG
74,2008-12-02,PM
75,2008-12-02,QCOM
76,2008-12-02,RF
77,2008-12-02,RTN
78,2008-12-02,S
79,2008-12-02,SLB
80,2008-12-02,SLE
81,2008-12-02,SO
82,2008-12-02,T
83,2008-12-02,TGT
84,2008-12-02,TWX
85,2008-12-02,TXN
86,2008-12-02,TYC
87,2008-12-02,UNH
88,2008-12-02,UPS
89,2008-12-02,USB
90,2008-12-02,UTX
91,2008-12-02,VZ
92,2008-12-02,WB
93,2008-12-02,WFC
94,2008-12-02,WMB
95,2008-12-02,WMT
96,2008-12-02,WY
97,2008-12-02,WYE
98,2008-12-02,XOM
99,2008-12-02,XRX
100,2008-12-24,AA
101,2008-12-24,AAPL
102,2008-12-24,ABT
103,2008-12-24,AEP
104,2008-12-24,AES
105,2008-12-24,AIG
106,2008-12-24,ALL
107,2008-12-24,AMGN
108,2008-12-24,AMZN
109,2008-12-24,AVP
110,2008-12-24,AXP
111,2008-12-24,BA
112,2008-12-24,BAC
113,2008-12-24,BAX
114,2008-12-24,BHI
115,2008-12-24,BK
116,2008-12-24,BMY
117,2008-12-24,BNI
118,2008-12-24,C
119,2008-12-24,CAT
120,2008-12-24,CBS
121,2008-12-24,CI
122,2008-12-24,CL
123,2008-12-24,CMCS_A
124,2008-12-24,COF
125,2008-12-24,COP
126,2008-12-24,COV
127,2008-12-24,CPB
128,2008-12-24,CSCO
129,2008-12-24,CVS
130,2008-12-24,CVX
131,2008-12-24,DD
132,2008-12-24,DELL
133,2008-12-24,DIS
134,2008-12-24,DOW
135,2008-12-24,EMC
136,2008-12-24,EP
137,2008-12-24,ETR
138,2008-12-24,EXC
139,2008-12-24,F
140,2008-12-24,FDX
141,2008-12-24,GD
142,2008-12-24,GE
143,2008-12-24,GOOG
144,2008-12-24,GS
145,2008-12-24,HAL
